section,Anno,Targhetta Ufficio,extra,Descrizione,Località,Denominazione ufficio
Regno,1946,3734,,La lotteria della solidarietà nazionale …,Catania,Distribuzione
Regno,1946,3735,,La lotteria della solidarietà nazionale …,Firenze,Ferrovia
Regno,1946,3736,,La lotteria della solidarietà nazionale …,Napoli,Ferrovia
Regno,1946,3737,,La lotteria della solidarietà nazionale …,Roma,Ferrovia
Regno,1946,3738,,La lotteria della solidarietà nazionale …,Torino,Ferrovia
Trieste A,1953,14,,Recapito Celere,Trieste,Corrisp. Pacchi
Libia,1928,5,,Italiani visitate la tripolitania,Tripoli,Corrispondenze
Libia,1929,7,,Italiani visitate la tripolitania,Tripoli,Corrispondenze
Libia,1930,8,,Italiani visitate la tripolitania,Tripoli,Corrispondenze
Libia,1931,11,,Italiani visitate la tripolitania,Tripoli,Corrispondenze
Libia,1933,14,,Visitare la tripolitania,Tripoli,Corrispondenze
Libia,1935,17,,lotteria di merano,Tripoli,Corrispondenze
